"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"odh-PastOrPresentJob-model","","","",0,*,"","","","","","Related data elements for a current or previous job, as reported by the person, i.e., a work situation or position held for a specified time period.
"odh-PastOrPresentJob-model.category.id","","","",0,1,"","","","string {[]} {[]}
","xml:id (or equivalent in JSON)","unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"odh-PastOrPresentJob-model.category.extension","","","",0,*,"","","","Extension {[]} {[]}
","Additional Content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"",""
"odh-PastOrPresentJob-model.category.system","","","",1,1,"","","Y","uri {[]} {[]}
","Identity of the terminology system","The identification of the code system that defines the meaning of the symbol in the code.","The URI may be an OID (urn:oid:...) or a UUID (urn:uuid:...).  OIDs and UUIDs SHALL be references to the HL7 OID registry. Otherwise, the URI should come from HL7's list of FHIR defined special URIs or it should de-reference to some definition that establish the system clearly and unambiguously.","Need to be unambiguous about the source of the definition of the symbol.","","","<valueUri xmlns=""http://hl7.org/fhir"" value=""http://hl7.org/fhir/observation-category""/>","","","","",,,,,"",,,,"Coding.system",0,1,"",""
"odh-PastOrPresentJob-model.category.version","","","",0,1,"","","Y","string {[]} {[]}
","Version of the system - if relevant","The version of the code system which was used when choosing this code. Note that a well-maintained code system does not need the version reported, because the meaning of codes is consistent across versions. However this cannot consistently be assured. and when the meaning is not guaranteed to be consistent, the version SHOULD be exchanged.","Where the terminology does not clearly define what string should be used to identify code system versions, the recommendation is to use the date (expressed in FHIR date format) on which that version was officially published as the version date.","","","","","","","","",,,,,"",,,,"Coding.version",0,1,"",""
"odh-PastOrPresentJob-model.category.code","","","",1,1,"","","Y","code {[]} {[]}
","Symbol in syntax defined by the system","A symbol in syntax defined by the system. The symbol may be a predefined code or an expression in a syntax defined by the coding system (e.g. post-coordination).","","Need to refer to a particular code in the system.","","","<valueCode xmlns=""http://hl7.org/fhir"" value=""social-history""/>","","","","",,,,,"",,,,"Coding.code",0,1,"",""
"odh-PastOrPresentJob-model.category.display","","","",0,1,"","","Y","string {[]} {[]}
","Representation defined by the system","A representation of the meaning of the code in the system, following the rules of the system.","","Need to be able to carry a human-readable meaning of the code for readers that do not know  the system.","","","","","","","",,,,,"",,,,"Coding.display",0,1,"",""
"odh-PastOrPresentJob-model.category.userSelected","","","",0,1,"","","Y","boolean {[]} {[]}
","If this coding was chosen directly by the user","Indicates that this coding was chosen by a user directly - i.e. off a pick list of available items (codes or displays).","Amongst a set of alternatives, a directly chosen code is the most appropriate starting point for new translations. There is some ambiguity about what exactly 'directly chosen' implies, and trading partner agreement may be needed to clarify the use of this element and its consequences more completely.","This has been identified as a clinical safety criterium - that this exact system/code pair was chosen explicitly, rather than inferred by the system based on some rules or language processing.","","","","","","","",,,,,"",,,,"Coding.userSelected",0,1,"",""
"odh-PastOrPresentJob-model.performer[x]","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Practitioner-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Organization-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Patient-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-RelatedPerson-model]]}
","The actor that carried out the observation or action.","The actor that carried out the observation or action.","","","","","","","","","",,,,,"",,,,"odh-PastOrPresentJob-model.performer[x]",0,*,"",""
"odh-PastOrPresentJob-model.bodyLocation","","","",0,0,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-BodyLocation-model {[]} {[]}
","A location or structure in the body, including tissues, regions, cavities, and spaces; for example, right elbow, or left ventricle of the heart.","A location or structure in the body, including tissues, regions, cavities, and spaces; for example, right elbow, or left ventricle of the heart.
The BodyLocation includes code and optional qualifiers of anatomical side or direction. The body location can also be determined from one or more body landmarks.
If the code for the body location includes laterality and/or anatomical direction, the corresponding attributes might be unnecessary.
Note that BodyLocation is a data type, a reusable structure, not a stand-alone entity. The concept is similar to how an address structure can apply to a person, location, or organization. This contrasts with FHIR's stand-alone BodySite (aka BodyStructure in r4) which 'is not ... intended for describing the type of anatomical location but rather a specific body site on a specific patient' (FHIR 3.5).","","","","","","","","","",,,,,"",,,,"odh-PastOrPresentJob-model.bodyLocation",0,0,"",""
"odh-PastOrPresentJob-model.commentOrDescription","","","",0,1,"","","","string {[]} {[]}
","A text note containing additional details, explanation, description, comment, or summarization.","A text note containing additional details, explanation, description, comment, or summarization.","","","","","","","","","",,,,,"http://ncimeta.nci.nih.gov#C0947611
",,,,"odh-PastOrPresentJob-model.commentOrDescription",0,1,"",""
"odh-PastOrPresentJob-model.interpretation","","","",0,1,"","","","Coding {[]} {[]}
","A clinical interpretation of a finding (applies to both assertions and observation).","A clinical interpretation of a finding (applies to both assertions and observation).","","","","","","","","","",,"extensible","","http://hl7.org/fhir/ValueSet/observation-interpretation","http://ncimeta.nci.nih.gov#C0420833
",,,,"odh-PastOrPresentJob-model.interpretation",0,1,"",""
"odh-PastOrPresentJob-model.device","","","",0,0,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Device-model {[]} {[]}
","A specific durable physical device used in diagnosis or treatment. The value is the coding for a type of device, for example, a CPAP machine. The same device might be used on multiple patients.","A specific durable physical device used in diagnosis or treatment. The value is the coding for a type of device, for example, a CPAP machine. The same device might be used on multiple patients.
Device status cannot be reconciled between Argonaut and US-Core, each having different required value sets.
Device type has extensible mappings to different value sets in Argonaut and US-Core, however both value sets have identical SNOMED content (descendants of 49062001 (Device). We adopt the US-Core value set, which is allowable because the binding is extensible.","","","","","","","","","",,,,,"",,,,"odh-PastOrPresentJob-model.device",0,0,"",""
"odh-PastOrPresentJob-model.referenceRange","","","",0,0,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-ReferenceRange-model {[]} {[]}
","The usual or acceptable range for a test result.","The usual or acceptable range for a test result.","","","","","","","","","",,,,,"http://ncimeta.nci.nih.gov#C0883335
",,,,"odh-PastOrPresentJob-model.referenceRange",0,0,"",""
"odh-PastOrPresentJob-model.components","","","",0,1,"","","","BackboneElement {[]} {[]}
","Sub-observations that are part of this observation. A sub-observation contributs to the parent observation and are always treated a part of a single observation (they are not separable). However, the reference range for the primary observation value is not inherited by the component values and is required when appropriate for each component observation.","Sub-observations that are part of this observation. A sub-observation contributs to the parent observation and are always treated a part of a single observation (they are not separable). However, the reference range for the primary observation value is not inherited by the component values and is required when appropriate for each component observation.","","","","","","","","","",,,,,"",,,,"odh-PastOrPresentJob-model.components",0,1,"",""
"odh-PastOrPresentJob-model.components.observationComponent","","","",0,1,"","","","","A sub-observation contributing to the parent observation, expressed as separate code value pairs that share the same attributes. Examples include systolic and diastolic component observations for blood pressure measurement and multiple component observations for genetics observations. Component observations share the same attributes in the Observation resource as the primary observation and are always treated a part of a single observation (they are not separable). However, the reference range for the primary observation value is not inherited by the component values and is required when appropriate for each component observation.","A sub-observation contributing to the parent observation, expressed as separate code value pairs that share the same attributes. Examples include systolic and diastolic component observations for blood pressure measurement and multiple component observations for genetics observations. Component observations share the same attributes in the Observation resource as the primary observation and are always treated a part of a single observation (they are not separable). However, the reference range for the primary observation value is not inherited by the component values and is required when appropriate for each component observation.","","","","","","","","","",,,,,"",,,,"odh-PastOrPresentJob-model.components.observationComponent",0,1,"",""
"odh-PastOrPresentJob-model.components.observationComponent.occupation","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/odh-Occupation-model]]}
","Occupation CDC Census code","Occupation CDC Census code","","","","","","","","","",,,,,"",,,,"odh-PastOrPresentJob-model.components.observationComponent.occupation",0,1,"",""
"odh-PastOrPresentJob-model.components.observationComponent.occupationalHazard","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/odh-OccupationalHazard-model]]}
","A hazard that is specific to a person's work or work environment at one job and with which the person might come in contact, as reported by the person. A hazard is a source of potential harm to a person’s physical or mental health. Hazards can be biological, physical, psychological, chemical, or radiological in nature.","A hazard that is specific to a person's work or work environment at one job and with which the person might come in contact, as reported by the person. A hazard is a source of potential harm to a person’s physical or mental health. Hazards can be biological, physical, psychological, chemical, or radiological in nature.","","","","","","","","","",,,,,"",,,,"odh-PastOrPresentJob-model.components.observationComponent.occupationalHazard",0,*,"",""
"odh-PastOrPresentJob-model.components.observationComponent.pastOrPresentIndustry","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/odh-PastOrPresentIndustry-model]]}
","The type of business (industry) in which the subject currently holds or has held a job in the past.","The type of business (industry) in which the subject currently holds or has held a job in the past.","","","","","","","","","",,,,,"",,,,"odh-PastOrPresentJob-model.components.observationComponent.pastOrPresentIndustry",0,1,"",""
"odh-PastOrPresentJob-model.components.observationComponent.workClassification","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/odh-WorkClassification-model]]}
","Type of compensation and sector for a person's job, such as 'paid work, self-employed' or 'voluntary work', as reported by the person.","Type of compensation and sector for a person's job, such as 'paid work, self-employed' or 'voluntary work', as reported by the person.","","","","","","","","","",,,,,"",,,,"odh-PastOrPresentJob-model.components.observationComponent.workClassification",0,1,"",""
"odh-PastOrPresentJob-model.components.observationComponent.supervisoryLevel","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/odh-SupervisoryLevel-model]]}
","A coded indicator of responsibilities for directing work and personnel management responsibilities for a person's job, as reported by the person. For US military jobs, this is pay grade.","A coded indicator of responsibilities for directing work and personnel management responsibilities for a person's job, as reported by the person. For US military jobs, this is pay grade.","","","","","","","","","",,,,,"",,,,"odh-PastOrPresentJob-model.components.observationComponent.supervisoryLevel",0,1,"",""
"odh-PastOrPresentJob-model.components.observationComponent.jobDuty","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/odh-JobDuty-model]]}
","A regular action performed by a person at a job, as reported by the person. For example, a Job Duty could be 'carry construction supplies' for a job with the Occupation 'construction laborer.'","A regular action performed by a person at a job, as reported by the person. For example, a Job Duty could be 'carry construction supplies' for a job with the Occupation 'construction laborer.'","","","","","","","","","",,,,,"",,,,"odh-PastOrPresentJob-model.components.observationComponent.jobDuty",0,*,"",""
"odh-PastOrPresentJob-model.components.observationComponent.workSchedule","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/odh-WorkSchedule-model]]}
","Typical arrangement of working hours for a person's job, as reported by the person.","Typical arrangement of working hours for a person's job, as reported by the person.","","","","","","","","","",,,,,"",,,,"odh-PastOrPresentJob-model.components.observationComponent.workSchedule",0,1,"",""
"odh-PastOrPresentJob-model.components.observationComponent.weeklyWorkDays","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/odh-WeeklyWorkDays-model]]}
","The average number of days per week that a person spends performing their duties for work.","The average number of days per week that a person spends performing their duties for work.","","","","","","","","","",,,,,"",,,,"odh-PastOrPresentJob-model.components.observationComponent.weeklyWorkDays",0,1,"",""
"odh-PastOrPresentJob-model.components.observationComponent.dailyWorkHours","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/odh-DailyWorkHours-model]]}
","The average number of hours in a day that a person spends performing their duties for work.","The average number of hours in a day that a person spends performing their duties for work.","","","","","","","","","",,,,,"",,,,"odh-PastOrPresentJob-model.components.observationComponent.dailyWorkHours",0,1,"",""
"odh-PastOrPresentJob-model.components.observationComponent.isCurrentJob","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/odh-IsCurrentJob-model]]}
","A flag indicating if this is the person's current job (at the time the resource was last updated).","A flag indicating if this is the person's current job (at the time the resource was last updated).","","","","","","","","","",,,,,"",,,,"odh-PastOrPresentJob-model.components.observationComponent.isCurrentJob",0,1,"",""
"odh-PastOrPresentJob-model.panelMembers","","","",0,0,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-PanelMembers-model {[]} {[]}
","PanelMembers represent the elements of a group of a related but independent evaluations.","PanelMembers represent the elements of a group of a related but independent evaluations.

Examples are the measurements that compose a complete blood count (CBC), or the elements of a pathology report. Each member is an independent evaluation, but the grouping reflects a composite lab order, shared specimen, or a single report author. Typically the Category and ReasonCode are not given for individual findings that are part of the panel, but rather given at the level of the panel itself.","","","","","","","","","",,,,,"",,,,"odh-PastOrPresentJob-model.panelMembers",0,0,"",""
"odh-PastOrPresentJob-model.subjectOfInformationCode","","","",0,1,"","","","Coding {[]} {[]}
","The person referred the information in this resource relates to, if different than the person of record.","The person referred the information in this resource relates to, if different than the person of record.","","","","","","","","","",,"required","","https://vsac.nlm.nih.gov/valueset/2.16.840.1.113883.1.11.19579/expansion","",,,,"odh-PastOrPresentJob-model.subjectOfInformationCode",0,1,"",""
"odh-PastOrPresentJob-model.employer[x]","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/odh-EmployerPerson-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Organization-model]]}
","A person or organization that hires the services of another.","A person or organization that hires the services of another.","","","","","","","","","",,,,,"",,,,"odh-PastOrPresentJob-model.employer[x]",0,1,"",""
